Frame_No,ObjID,x1,y1,x2,y2,Class_Name,Confidence,Direction,Aggregate_Count
50,5,721,62,957,337,truck,0.56,N/A,0
50,3,1230,357,1466,789,bus,0.76,N/A,0
50,2,174,119,695,348,car,0.75,N/A,0
50,1,1426,-1,1646,156,car,0.82,N/A,0
51,36,1213,33,1429,321,car,0.55,N/A,0
51,34,1226,0,1353,46,car,0.3,N/A,0
51,33,1211,32,1430,325,car,0.55,N/A,0
51,27,1221,1,1352,74,car,0.59,N/A,0
51,8,1230,357,1466,789,bus,0.7,N/A,0
51,7,373,2,653,113,car,0.35,N/A,0
51,6,998,0,1159,192,car,0.59,N/A,0
51,5,721,62,957,337,truck,0.58,N/A,0
51,2,176,119,695,348,car,0.76,N/A,0
51,1,1424,-2,1641,150,car,0.82,N/A,0
52,36,1213,33,1429,324,car,0.55,N/A,0
52,34,1227,0,1353,46,car,0.3,N/A,0
52,33,1211,32,1430,327,car,0.55,N/A,0
52,27,1221,1,1353,75,car,0.59,N/A,0
52,8,1229,358,1466,791,bus,0.7,N/A,0
52,7,371,2,653,113,car,0.35,N/A,0
52,6,999,0,1159,192,car,0.59,N/A,0
52,5,721,62,957,337,truck,0.58,N/A,0
52,2,177,119,696,348,car,0.76,N/A,0
52,1,1424,-2,1638,148,car,0.82,N/A,0
53,33,1211,33,1430,326,car,0.65,N/A,0
53,27,1220,0,1351,75,car,0.49,N/A,0
53,8,1229,363,1466,796,bus,0.58,N/A,0
53,7,368,3,652,115,car,0.33,N/A,0
53,6,997,0,1158,191,car,0.55,N/A,0
53,5,720,63,956,338,truck,0.58,N/A,0
53,2,173,119,693,348,car,0.74,N/A,0
53,1,1420,-3,1631,142,car,0.8,N/A,0
54,33,1211,35,1431,328,car,0.64,N/A,0
54,27,1222,0,1352,73,car,0.45,N/A,0
54,8,1228,365,1465,798,bus,0.69,N/A,0
54,7,371,3,653,115,car,0.37,N/A,0
54,6,997,0,1158,191,car,0.52,N/A,0
54,5,720,63,956,337,truck,0.59,N/A,0
54,2,173,119,694,348,car,0.69,N/A,0
54,1,1416,-5,1623,133,car,0.79,N/A,0
55,33,1212,35,1431,325,car,0.64,N/A,0
55,27,1224,1,1353,74,car,0.46,N/A,0
55,8,1227,367,1465,799,bus,0.78,N/A,0
55,7,374,2,654,114,car,0.44,N/A,0
55,6,997,0,1158,190,car,0.51,N/A,0
55,5,721,62,956,337,truck,0.62,N/A,0
55,2,173,118,694,347,car,0.69,N/A,0
55,1,1413,-5,1616,126,car,0.77,N/A,0
56,39,386,18,619,127,car,0.27,N/A,0
56,34,1227,1,1353,51,car,0.28,N/A,0
56,33,1212,36,1431,324,car,0.62,N/A,0
56,27,1223,1,1352,76,car,0.51,N/A,0
56,8,1228,369,1466,801,bus,0.77,N/A,0
56,7,374,3,653,115,car,0.44,N/A,0
56,6,998,0,1158,188,car,0.43,N/A,0
56,5,721,61,955,336,truck,0.61,N/A,0
56,2,175,117,695,347,car,0.71,N/A,0
